,X,...1,name,address,city,state,zip,Zip.Plus,Contact.First.Name,Contact.Last.Name,Contact.Title,Phone,Business.Description,Primary.NAICS,NAICS2,NAICS3,NAICS4,NAICS5,Business.Type,County,Employee,Annual.Sales,URL,Year.Established,address_new,url,type,latitude,longitude
1,1,1,7 Dance Ctr,55 Hillsboro St,Pittsboro,NC,27312,NA,Jenna,Oldham,Owner,(919) 545-7000,Dancing Instruction,611610,711120,NA,NA,NA,Private,Chatham,1,30000,7dancecentre.com,2014,55 Hillsboro St Pittsboro NC 27312,https://7dancecentre.com,dancing lessons,35.72125983,-79.17719342
2,2,2,7 Dance Ctr LLC,3248 US Hwy 15 501 N,Pittsboro,NC,27312,6442,Jenna L,Oldham,Owner,(919) 000-1111,Dancing Instruction,611610,NA,NA,NA,NA,Private,Chatham,3,89000,7dancecentre.com,2015,3248 US Hwy 15 501 N Pittsboro NC 27312,https://7dancecentre.com,dancing lessons,35.76383221,-79.16098403
3,3,3,A Step of Class,311 E Main St,Beulaville,NC,28518,8705,Tammy,Evans,Owner,(910) 298-5110,Dancing Instruction,611610,NA,NA,NA,NA,Private,Duplin,3,58000,astepofclass.com,1984,311 E Main St Beulaville NC 28518,https://astepofclass.com,dancing lessons,34.92334744,-77.77104024
4,4,4,A Step of Class,2732 Graves Dr,Goldsboro,NC,27534,4512,Tammy,Evans,Owner,(919) 778-5098,Dancing Instruction,611610,711120,713940,NA,NA,Private,Wayne,5,94000,NA,2008,2732 Graves Dr Goldsboro NC 27534,NA,dancing lessons,35.37144376,-77.94796084
5,5,5,A Step To Gold,6278 Glenwood Ave,Raleigh,NC,27612,2723,Melanie,Dale,Owner,(919) 781-6868,Dancing Instruction,611610,722320,NA,NA,NA,Private,Wake,1,35000,asteptogold.com,2002,6278 Glenwood Ave Raleigh NC 27612,https://asteptogold.com,dancing lessons,35.85717542,-78.7037723
6,6,6,A the Bare Dance Academy,2611 Eastern Ave,Rocky Mount,NC,27804,8180,NA,NA,NA,(252) 443-4888,Dancing Instruction,611610,NA,NA,NA,NA,Private,Nash,2,35000,NA,2017,2611 Eastern Ave Rocky Mount NC 27804,NA,dancing lessons,35.97053088,-77.92057942
7,7,7,Academy For the Performing,844 Perry Rd,Apex,NC,27502,7701,Hillary,Parnell,Owner,(919) 367-7210,Dancing Instruction,611610,711110,624410,NA,NA,Private,Wake,4,139000,apanc.com,2011,844 Perry Rd Apex NC 27502,https://apanc.com,dancing lessons,35.72025431,-78.84512261
8,8,8,Academy of Dance,510 Park Ln,Reidsville,NC,27320,6112,Ashley,Daniel,Owner,(336) 342-4827,Dancing Instruction,611610,NA,NA,NA,NA,Private,Rockingham,3,89000,academyofdanceinc.com,1986,510 Park Ln Reidsville NC 27320,https://academyofdanceinc.com,dancing lessons,36.33270341,-79.66617664
9,9,9,Academy of Dance & Fine Arts,780 Brawley School Rd,Mooresville,NC,28117,9122,Karen,Deese,Owner,(704) 663-3169,Dancing Instruction,611610,711120,611620,NA,NA,Private,Iredell,10,198000,adfastudio.com,1977,780 Brawley School Rd Mooresville NC 28117,https://adfastudio.com,dancing lessons,35.57894577,-80.88505367
10,10,10,Academy of Performing Arts,1 N Lafayette St,Shelby,NC,28150,5343,Beth,Mayo,Owner,(704) 484-3419,Dancing Instruction,611610,611620,NA,NA,NA,Private,Cleveland,5,113000,NA,1995,1 N Lafayette St Shelby NC 28150,NA,dancing lessons,35.2919959,-81.54024807
11,11,11,Act Dance Sing Performing Arts,4950 Arendell St # G,Morehead City,NC,28557,2686,Laura,Vermonica,Owner,(252) 773-4241,Dancing Instruction,611610,NA,NA,NA,NA,Private,Carteret,2,62000,actdancesingpatc.com,2017,4950 Arendell St # G Morehead City NC 28557,https://actdancesingpatc.com,dancing lessons,34.73447916,-76.78990549
12,12,12,Acting Up,10823 John Price Rd # E,Charlotte,NC,28273,4511,Jennifer,Tankersley,CEO,(704) 313-8228,Dancing Instruction,611610,NA,NA,NA,NA,Private,Mecklenburg,1,28000,actingupcarolina.com,2015,10823 John Price Rd # E Charlotte NC 28273,https://actingupcarolina.com,dancing lessons,35.11930032,-80.95792444
13,13,14,Advance Dance,160 Webb Way,Advance,NC,27006,6927,Gena,Surratt,Owner,(336) 998-2709,Dancing Instruction,611610,NA,NA,NA,NA,Private,Davie,3,68000,advancedancers.com,2004,160 Webb Way Advance NC 27006,https://advancedancers.com,dancing lessons,36.00143141,-80.44630579
14,14,15,Aerami Therapeutics,2520 Meridian Pkwy # 400,Durham,NC,27713,4202,Anne,Whitaker,CEO,(919) 000-1111,Dancing Instruction,611610,NA,NA,NA,NA,Private,Durham,4,179000,aerami.com,2010,2520 Meridian Pkwy # 400 Durham NC 27713,https://aerami.com,dancing lessons,35.91087488,-78.89523781
15,15,16,Albemarle Academy of Dance,26810 Ross Dr,Albemarle,NC,28001,9779,Lee,Johnson,Owner,(704) 982-7514,Dancing Instruction,611610,611620,NA,NA,NA,Private,Stanly,3,69000,albemarleacademyofdance.com,1991,26810 Ross Dr Albemarle NC 28001,https://albemarleacademyofdance.com,dancing lessons,35.33221973,-80.18619975
16,16,17,Alicias School Performing Arts,310 S Market St,Benson,NC,27504,1724,Alicia,Howell,Owner,(919) 894-2271,Dancing Instruction,611610,NA,NA,NA,NA,Private,Johnston,4,88000,aliciasperformingarts.com,1984,310 S Market St Benson NC 27504,https://aliciasperformingarts.com,dancing lessons,35.37902295,-78.54833326
17,17,18,All About Ballroom,107 Edinburgh South Dr # 123,Cary,NC,27511,6451,NA,NA,NA,(919) 518-7026,Dancing Instruction,611610,NA,NA,NA,NA,Private,Wake,2,70000,NA,2013,107 Edinburgh South Dr # 123 Cary NC 27511,NA,dancing lessons,35.73744027,-78.8001865
18,18,19,All About Dance,218 N Chestnut St,Lumberton,NC,28358,5642,Donna,Dichiara,Owner,(910) 738-7403,Dancing Instruction,611610,NA,NA,NA,NA,Private,Robeson,1,20000,NA,2009,218 N Chestnut St Lumberton NC 28358,NA,dancing lessons,34.61799271,-79.00774681
19,19,21,Amber South,1038 Williamson Ave,Burlington,NC,27215,9726,Amber,Foster,Owner,(336) 584-3456,Dancing Instruction,611610,711120,NA,NA,NA,Private,Alamance,6,153000,ambershouseofdance.com,1999,1038 Williamson Ave Burlington NC 27215,https://ambershouseofdance.com,dancing lessons,36.08158255,-79.51374598
20,20,22,American Dance Festival Inc,715 Broad St,Durham,NC,27705,4833,Charles L,Reinhart,President,(919) 684-6402,Dancing Instruction,611610,813319,712110,712110,813910,Private,Durham,6,268000,americandancefestival.org,2021,715 Broad St Durham NC 27705,https://americandancefestival.org,dancing lessons,36.00870564,-78.91974229
21,21,23,Ann Freeman Dance Academy,532 10th Street Blvd NW,Hickory,NC,28601,3470,Jacquelynn,Olson,President,(828) 324-6058,Dancing Instruction,611610,NA,NA,NA,NA,Private,Catawba,1,23000,annfreemandanceacademy.com,1984,532 10th Street Blvd NW Hickory NC 28601,https://annfreemandanceacademy.com,dancing lessons,35.73983879,-81.35770869
22,22,24,Apex School of Dance,2121 E Williams St # 104,Apex,NC,27539,7765,Jackie,Rafferty,Owner,(919) 530-0917,Dancing Instruction,611610,NA,NA,NA,NA,Private,Wake,2,70000,NA,2014,2121 E Williams St # 104 Apex NC 27539,NA,dancing lessons,35.68882383,-78.83390319
23,23,25,April's School of Dance,20 E Ashe St,West Jefferson,NC,28694,6011,NA,NA,NA,(336) 846-1545,Dancing Instruction,611610,711120,NA,NA,NA,Private,Ashe,3,63000,dancewj.com,2005,20 E Ashe St West Jefferson NC 28694,https://dancewj.com,dancing lessons,36.40030867,-81.49265607
24,24,27,Arrowood's Tammy Stars-Tmrrw,212 S Dekalb St # I,Shelby,NC,28150,2601,NA,NA,NA,(704) 482-2244,Dancing Instruction,611610,NA,NA,NA,NA,Private,Cleveland,4,90000,starsoftomorrowdancestudio.org,1994,212 S Dekalb St # I Shelby NC 28150,https://starsoftomorrowdancestudio.org,dancing lessons,35.28991179,-81.53734715
25,25,28,Art of Dance Studio,520 S Allen Rd # 7,Flat Rock,NC,28731,9451,Kate,Collins,Other,(919) 710-1543,Dancing Instruction,611610,813319,813410,NA,NA,Private,Henderson,4,97000,artofdancestudio.org,2016,520 S Allen Rd # 7 Flat Rock NC 28731,https://artofdancestudio.org,dancing lessons,35.29956322,-82.41522316
26,26,29,Artistry In Motion,603 S Brightleaf Blvd,Smithfield,NC,27577,4445,Lindsay B,Whitfield,Other,(919) 938-6210,Dancing Instruction,611610,541430,NA,NA,NA,Private,Johnston,3,66000,aimperformingarts.com,2010,603 S Brightleaf Blvd Smithfield NC 27577,https://aimperformingarts.com,dancing lessons,35.50136756,-78.34724697
27,27,30,Arts Inspired Dance Academy,118 E Jones St,Fuquay Varina,NC,27526,1920,Linda M,Robertson,Manager,(919) 285-1651,Dancing Instruction,611610,NA,NA,NA,NA,Private,Wake,4,139000,artsinspireddance.com,2009,118 E Jones St Fuquay Varina NC 27526,https://artsinspireddance.com,dancing lessons,35.58659267,-78.79955655
28,28,31,Asheville Academy of Ballet,4 Weaverville Rd,Asheville,NC,28804,1336,Ann,Dunn,President,(828) 252-4761,Dancing Instruction,611610,813311,813319,NA,NA,Private,Buncombe,5,1.00E+05,ashevilleballet.com,1948,4 Weaverville Rd Asheville NC 28804,https://ashevilleballet.com,dancing lessons,35.63890759,-82.57671431
29,29,32,Asheville Contemporary Dance,20 Commerce St,Asheville,NC,28801,3306,Susan,Collard,Owner,(828) 254-2621,Dancing Instruction,611610,711120,813319,813410,NA,Private,Buncombe,8,199000,acdt.org,1970,20 Commerce St Asheville NC 28801,https://acdt.org,dancing lessons,35.5941226,-82.55465201
